contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor,distance,weights,subclass
3702140_2013_11_asheville_NC_Mayor_mayor_1,12131,2013,asheville city,Mayor,North Carolina,1,0.776959693161193,0.767251361667453,0.79849615622019,11,0,37.51545626906273,68422,47.5,52.5,84.5,13.4,6.8,1.9,17.729677589079536,11.133449689323314,none,0,0.7809024036829454,1,0,0,1,1,1,0.4851500361571155,1,27
3774440_2013_11_wilmington_NC_Mayor_mayor_1,6744,2013,wilmington city,Mayor,North Carolina,1,0.556261185843773,0.566009812269391,0.580486269572744,11,1,100,88644,47.6,52.4,76.5,20.6,5.6,1.7,7.607959929606064,11.392383627316738,none,0,0.5675857558953027,1,0,0,1,1,1,0.3883579402976303,1,54
3915000_2013_11_cincinnati_OH_Mayor_mayor_1,57716,2013,cincinnati city,Mayor,Ohio,1,0.754824251682543,0.780373070026315,0.78724507944036,11,1,15.836163282278743,231218,47.9,52.1,53.2,45.3,3.1,2.4,24.96172443321887,12.351116267421125,none,0,0.7741474670497394,1,0,0,1,NA,1,0.41814238967280176,1,9
4714000_2013_3_chattanooga_TN_Mayor_mayor_1,17789,2013,chattanooga city,Mayor,Tennessee,0,0.505216412689722,0.562444612732224,0.589840324085031,3,0,50.6830122591944,134224,47.9,52.1,60.6,35.4,5.4,2.5,13.253218500417214,11.807265325086076,none,0,0.552500449835659,1,0,0,1,NA,1,0.41387029514827123,1,25
4824000_2013_6_el paso_TX_Mayor_mayor_1,44762,2013,el paso city,Mayor,Texas,1,0.654364766929319,0.718874742997211,0.681157006190208,6,0,48.64840713104866,472712,48.2,51.8,83.7,4,80,1.8,9.469190543079083,13.066241602539073,none,0,0.6847988387055793,1,0,0,1,NA,1,0.6139923722687078,1,59
4848072_2013_11_midland_TX_Mayor_mayor_1,13627,2013,midland city,Mayor,Texas,1,0.230103009725499,0.231023102310231,0.236808051761323,11,0,38.49509269356598,83836,48.9,51.1,83.2,8.6,39,1.7,16.25435373825087,11.33661778849305,none,0,0.2326447212656843,1,0,0,1,0,1,0.5540695928963416,1,74
644000_2013_5_los angeles_CA_Mayor_mayor_1,409909,2013,los angeles city,Mayor,California,0,0.795885053415068,0.827342780032484,0.78129834964421,5,0,8.463097907096452,2960462,49.7,50.3,55.1,10.3,48.6,12.7,13.846115910286978,14.90085589520194,none,0,0.801508727697254,1,0,0,1,NA,1,0.9314255871973818,1,26
655156_2013_11_palmdale_CA_Mayor_mayor_1,9396,2013,palmdale city,Mayor,California,1,0.62821910129854,0.661098228155886,0.64619527734901006,11,1,48.61650181545011,103452,48.7,51.3,45.8,16.2,54.7,5.6,9.082473030970885,11.546863015997925,none,0,0.6451708689344787,1,0,0,1,1,1,0.7152471935503032,1,41
952000_2013_11_new haven_CT_Mayor_mayor_1,20788,2013,new haven city,Mayor,Connecticut,1,0.884686722460982,0.888301221508626,0.8538469058559,11,0,9.322686165095249,101630,47.5,52.5,46.6,36.3,25.8,5.6,20.45459018006494,11.529094046131812,none,0,0.8756116166085026,1,0,0,1,NA,1,0.6240086176866022,1,11
980000_2013_11_waterbury_CT_Mayor_mayor_1,11538,2013,waterbury city,Mayor,Connecticut,0,0.638029361942405,0.607515210811141,0.603778337531486,11,1,54.03045685279188,82406,47.6,52.4,63.6,22.9,33.8,1.8,14.00140766449045,11.319413528780622,none,0,0.6164409700950108,1,0,0,1,NA,1,0.4695908308178821,1,27
1304204_2014_5_augusta-richmond county_GA_City Council_synthetic at-large c_1,27532,2014,augusta-richmond county consolidated government (balance),City Council,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,5,0,59.74477958236659,149058,48.4,51.6,41,57,4.4,2.4,18.470662426706383,11.912090770929863,none,0,0.6560324262344106,0,0,0,0,1,1,0.5363994981316293,1,19
1304204_2014_5_augusta-richmond county_GA_Mayor_mayor_1,27532,2014,augusta-richmond county consolidated government (balance),Mayor,Georgia,1,0.60011458034947,0.672923154616615,0.695059543737147,5,0,59.74477958236659,149058,48.4,51.6,41,57,4.4,2.4,18.470662426706383,11.912090770929863,none,0,0.6560324262344106,1,0,0,1,1,1,0.3211471148786845,1,10
2717288_2014_11_eagan_MN_Mayor_mayor_1,18680,2014,eagan city,Mayor,Minnesota,0,0.556295317933098,0.596122171814951,0.648506821868142,11,0,100,49144,50.1,49.9,83.4,7.1,4.7,9.1,38.01074393618753,10.802510042843764,midterm,1,0.6003081038720637,1,0,1,1,NA,1,0.7726422714079048,1,28
