...1,fips,state,geo_name,population_2020,mass_ideology_2020,mass_ideology_2020_se,pres_pctD_20,pres_pctD_16,pres_pctD_08,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,geo_type,council.manager
13,407940,Arizona,Buckeye city,91502,0.243303978,0.070029408,0.4227613,0.395202795,0.406070881,0.465903877,0.481804886,0.082014223,0.381538197,0.02752925,City,1
409,1810342,Indiana,Carmel city,99757,-0.197982688,0.062548522,0.522849416,0.448478901,0.396915155,0.514928589,0.802963145,0.027343429,0.036731511,0.112205532,City,0
254,908420,Connecticut,Bristol city,60833,-0.163925878,0.081386549,0.527785363,0.494990297,0.6101112,0.5141652,0.73649075,0.054219669,0.172705835,0.022916736,City,0
264,980000,Connecticut,Waterbury city,114403,-0.194367066,0.057556564,0.603778338,0.607515211,0.638029362,0.520623222,0.378070856,0.21703794,0.374441243,0.027559201,City,0
308,1245060,Florida,Miami Gardens city,111640,-0.245436621,0.059319606,0.850760865,0.927456622,0.937668094,0.538931243,0.032434471,0.708197516,0.261720679,0.006932285,City,1
843,5338038,Washington,Lakewood city,63612,-0.067569833,0.066559878,0.612415909,0.577805854,0.568585542,0.495017551,0.504566552,0.127547371,0.169353363,0.108183194,City,1
91,622230,California,El Monte city,109450,-0.293944407,0.071136723,0.716352913,0.818789383,0.758067402,0.50185687,0.03621112,0.005817326,0.657184657,0.28902239497216903,City,1
205,673262,California,South San Francisco city,66105,-0.30767868,0.094999679,0.78260004,0.814805046,0.76623199,0.508648825,0.20052516,0.018439948,0.333061358,0.427827558,City,1
208,677000,California,Sunnyvale city,155805,-0.329840092,0.063982403,0.785562299,0.802239281,0.734610847,0.481017215,0.307259279,0.016010997,0.164561105,0.495771421,City,1
18,423620,Arizona,Flagstaff city,76831,-0.130752503,0.07320072,0.692409014,0.671151696,0.626453211,0.504240214,0.645258418,0.019916577,0.193226706,0.039833154,City,1
626,3702140,North Carolina,Asheville city,94589,-0.175484449,0.056705306,0.798496156,0.767251362,0.776959693,0.522356924,0.779412407,0.11231979,0.067649629,0.021395806,City,1
345,1276075,Florida,Westchester CDP,56384,-0.096177661,0.064405401,0.320669134,0.437983193,0.29593777740203703,0.537175096,0.076062865,0.028175163,0.90650816,0.015817046,City,NA
395,1754820,Illinois,Oak Lawn village,58362,-0.176382753,0.093999897,0.573458359,0.572789836,0.561227404,0.510637157,0.661827803,0.067398455,0.220269594,0.04385369,City,1
718,4733280,Tennessee,Hendersonville city,61753,0.268709479,0.095548796,0.347683406,0.285794246,0.303609563,0.52463956,0.840600529,0.082073472,0.043445509,0.018166529,City,0
489,2537490,Massachusetts,Lynn city,101253,-0.256315954,0.074349801,0.702881409,0.704177919,0.699292982,0.496207717,0.358800124,0.136564864,0.427711936,0.077637797,City,1
294,1232610,Florida,Horizon West CDP,58101,-0.043291373,0.060373357,0.560783265,0.54504266,0.483477971,0.524459235,0.638781518,0.077563036,0.194624344,0.071675413,City,NA
257,937000,Connecticut,Hartford city,121054,-0.311040624,0.06390869,0.873029583,0.923083936,0.921979841,0.523917847,0.148373521,0.376966073,0.442894514,0.029751072,City,0
502,2578972,Massachusetts,Weymouth Town city,57437,-0.261111257,0.066201514,0.611535464,0.562360761,0.543732693,0.525258223,0.815595586,0.05620968,0.037949025,0.072866359,City,0
700,4419180,Rhode Island,Cranston city,82934,-0.239629466,0.065655639,0.571700586,0.541173762,0.610997793,0.509574913,0.694378123,0.063406109,0.155069289,0.070913432,City,0
253,908000,Connecticut,Bridgeport city,148654,-0.199771339,0.058602715,0.801479408,0.831965576,0.839265865,0.51695631,0.200866526,0.350853823,0.407658663,0.035979374,City,0
39,535710,Arkansas,Jonesboro city,78576,0.220292061,0.069166981,0.392015914,0.376597985,0.370885586,0.518451786,0.68475459,0.200431375,0.061839129,0.019753801,City,0
408,1805860,Indiana,Bloomington city,79168,-0.234097719,0.062166685,0.804995999,0.782898861,0.755401351,0.499655238,0.783275477,0.039433639,0.043677778,0.113414808,City,0
397,1756640,Illinois,Orland Park village,58703,-0.026295532,0.076335065,0.475733317,0.447377443,0.471034089,0.515940697,0.827043865,0.0441199,0.069413947,0.052698769,City,1
799,4920120,Utah,Draper city,51017,-0.051885712,0.09647278,0.415632458,0.372349159,0.33712787,0.4861875,0.854458333,0.010979167,0.068,0.043979167,City,1
586,3413690,New Jersey,Clifton city,90296,-0.22523296,0.068344855,0.597393844,0.618126797,0.585260948,0.521114032,0.453312051,0.053436458382235603,0.381989108,0.103750998,City,1
218,681554,California,Vacaville city,102386,0.027970528,0.071840111,0.528742921,0.52897373,0.547275823,0.482538559,0.504687737,0.101147914,0.248364096,0.101451327,City,1
