contest,total.votes,year,city,office,state,council.manager,pop.estimate,turnout
4459000_2018_11_providence_RI_Mayor_mayor_1,42123,2018,providence city,Mayor,Rhode Island,0,179435,23.475353191963663
455000_2018_5_phoenix_AZ_Mayor_mayor_1,1,2018,phoenix city,Mayor,Arizona,1,1610071,6.210906227116691e-5
4845000_2018_5_lubbock_TX_Mayor_mayor_1,14604,2018,lubbock city,Mayor,Texas,1,250415,5.831919014436036
541000_2018_12_little rock_AR_Mayor_mayor_1,39001,2018,little rock city,Mayor,Arkansas,1,198135,19.68405380170086
614890_2018_11_colton_CA_Mayor_mayor_1,9342,2018,colton city,Mayor,California,1,54415,17.168060277497013
622230_2018_11_el monte_CA_Mayor_mayor_1,15431,2018,el monte city,Mayor,California,1,115669,13.340653070399156
622678_2018_11_encinitas_CA_Mayor_mayor_1,29696,2018,encinitas city,Mayor,California,1,62713,47.35222362189658
622804_2018_11_escondido_CA_Mayor_mayor_1,40822,2018,escondido city,Mayor,California,1,151115,27.013863613804055
636770_2018_11_irvine_CA_Mayor_mayor_1,78633,2018,irvine city,Mayor,California,1,265502,29.616726051027864
646898_2018_11_merced_CA_Mayor_mayor_1,16887,2018,merced city,Mayor,California,1,82289,20.52157639538699
655156_2018_11_palmdale_CA_Mayor_mayor_1,37887,2018,palmdale city,Mayor,California,1,156904,24.1466119410595
